,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Kalakamati,BW,68.4,clear sky,-20.5929,27.3121,
57,Pedernales,DO,82.11,overcast clouds,18.0384,-71.744,Hotel Costa Marina
58,Kelso,US,72.72,clear sky,46.1468,-122.9084,GuestHouse Kelso Longview
63,Keffi,NG,70.65,light rain,8.8486,7.8736,Imam Family
65,Kapaa,US,83.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Namatanai,PG,85.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
71,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
74,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
75,Nguru,NG,81.81,broken clouds,12.8791,10.4526,Government Lodge
78,Cururupu,BR,75.99,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
79,Arraial Do Cabo,BR,67.93,light rain,-22.9661,-42.0278,Pousada Porto Praia
80,Simao,CN,72.0,scattered clouds,22.7886,100.9748,Changyu Hotel
81,Puerto Ayora,EC,65.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Esna,EG,86.02,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
85,Carnarvon,AU,73.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Butaritari,KI,81.84,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
87,Pedasi,PA,80.06,broken clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
88,Katsuura,JP,78.03,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
